Wind Speed;Production;Actual Production;Difference;SMP;Forecasting error;0.07
9.8;7000;6326;674;68.26;;
10.2;7000;6975;25;62;;
10.2;7000;7831;-831;52.99;;
10.4;7000;7455;-455;46.97;;
10.6;7000;6751;249;46.97;;
11.1;7000;6914;86;56.61;;
9.3;6050;6224;-174;53.43;;
9.8;7000;7055;-55;49.5;;
10.3;7000;7324;-324;46.83;;
9.8;7000;6318;682;46.83;;
9.9;7000;7031;-31;51.42;;
9.9;7000;7135;-135;64;;
9.9;7000;6382;618;69.73;;
10.4;7000;6056;944;68.72;;
10;7000;7053;-53;49.42;;
8.8;5119;5028;91;39.99;;
8.4;4389;4165;223;39.98;;
6.6;1953;1671;282;28;;
6.4;1842;1838;4;8;;
4.7;637;635;3;28.14;;
4;0;0;0;39.98;;
5.1;981;1055;-74;49.42;;
4.3;273;295;-22;72.07;;
3.4;0;0;0;82.04;;
6.4;1842;1685;157;70.15;;
1.9;0;0;0;54.31;;
1;0;0;0;43;;
1.9;0;0;0;47.91;;
3.3;0;0;0;29.32;;
4;0;0;0;1.98;;
6;1620;1720;-100;21.35;;
5.5;1265;1253;12;12.25;;
5.7;1407;1271;136;4.2;;
4.6;546;549;-3;19.43;;
0.9;0;0;0;40.25;;
0.2;0;0;0;60.6;;
3.7;0;0;0;65.81;;
3.5;0;0;0;66.06;;
3;0;0;0;58;;
3.7;0;0;0;54.34;;
4.8;728;756;-28;53.27;;
6;1620;1390;230;49.75;;
7.5;2916;3092;-175;48.8;;
7.2;2471;2328;143;48.01;;
7.6;3065;3440;-375;51.5;;
7.8;3361;3394;-33;49.35;;
8;3658;4023;-365;63.17;;
10;7000;7556;-556;59;;
5.9;1549;1442;107;58.2;;
6.5;1897;1839;59;56;;
6.4;1842;1891;-49;49.35;;
6.4;1842;1727;115;49.35;;
8.6;4754;4620;134;49.35;;
10;7000;7103;-103;47.51;;
4.2;182;188;-6;46.55;;
5.8;1478;1242;236;47.51;;
8.1;3841;3972;-131;47.51;;
9.2;5871;6808;-937;48.05;;
6.3;1787;1637;149;53.49;;
7.3;2620;2356;263;62.17;;
6.3;1787;1654;133;71;;
