Wind Speed;Production;SMP;Rounded Prod
9.5;1594.57;25;6378.28
11.2;1750;27.38;7000
12.4;1750;26.25;7000
12.2;1750;38.91;7000
11;1750;31.52;7000
10.6;1750;40.56;7000
9.1;1419.47;41.97;5677.88
9.3;1512.52;46.87;6050.08
7.5;729.1;48.24;2916.4
5.8;369.55;48.09;1478.2
7.4;692.02;48.09;2768.08
8;914.48;49;3657.92
5.4;298.59;46.2;1194.36
8.9;1325.45;44.34;5301.8
10.2;1750;45.93;7000
11;1750;46.75;7000
10.8;1750;56.67;7000
10.6;1750;53.33;7000
12.1;1750;53.33;7000
11.8;1750;53.33;7000
11.1;1750;52.99;7000
11.2;1750;39.88;7000
12;1750;45.01;7000
12.6;1750;20.07;7000
12.2;1750;30.92;7000
11.9;1750;10;7000
12.4;1750;10;7000
12;1750;23.06;7000
12;1750;45.66;7000
11.9;1750;61.95;7000
10.6;1750;68;7000
10.1;1750;60.77;7000
10.1;1750;49.42;7000
9.9;1750;44.05;7000
11.1;1750;39.11;7000
12.4;1750;39.99;7000
10.1;1750;32.83;7000
11.1;1750;40.11;7000
11.3;1750;50;7000
11.8;1750;57.07;7000
11.9;1750;66.65;7000
11.5;1750;69.97;7000
9.8;1750;68.26;7000
10.2;1750;62;7000
10.2;1750;52.99;7000
10.4;1750;46.97;7000
10.6;1750;46.97;7000
11.1;1750;56.61;7000
9.3;1512.52;53.43;6050.08
9.8;1750;49.5;7000
10.3;1750;46.83;7000
9.8;1750;46.83;7000
9.9;1750;51.42;7000
9.9;1750;64;7000
9.9;1750;69.73;7000
10.4;1750;68.72;7000
10;1750;49.42;7000
8.8;1279.78;39.99;5119.12
8.4;1097.13;39.98;4388.52
6.6;488.24;28;1952.96
6.4;460.5;8;1842
4.7;159.34;28.14;637.36
4;0;39.98;0
5.1;245.37;49.42;981.48
4.3;68.29;72.07;273.16
3.4;0;82.04;0
6.4;460.5;70.15;1842
1.9;0;54.31;0
1;0;43;0
1.9;0;47.91;0
3.3;0;29.32;0
4;0;1.98;0
6;405.03;21.35;1620.12
5.5;316.33;12.25;1265.32
5.7;351.81;4.2;1407.24
4.6;136.58;19.43;546.32
0.9;0;40.25;0
0.2;0;60.6;0
3.7;0;65.81;0
3.5;0;66.06;0
3;0;58;0
3.7;0;54.34;0
4.8;182.1;53.27;728.4
6;405.03;49.75;1620.12
7.5;729.1;48.8;2916.4
7.2;617.87;48.01;2471.48
7.6;766.18;51.5;3064.72
7.8;840.33;49.35;3361.32
8;914.48;63.17;3657.92
10;1750;59;7000
5.9;387.29;58.2;1549.16
6.5;474.37;56;1897.48
6.4;460.5;49.35;1842
6.4;460.5;49.35;1842
8.6;1188.46;49.35;4753.84
10;1750;47.51;7000
4.2;45.53;46.55;182.12
5.8;369.55;47.51;1478.2
8.1;960.14;47.51;3840.56
9.2;1467.83;48.05;5871.32
6.3;446.64;53.49;1786.56
7.3;654.95;62.17;2619.8
6.3;446.64;71;1786.56
7.3;654.95;73.17;2619.8
6.2;432.77;71.28;1731.08
4.7;159.34;70;637.36
7;543.72;64;2174.88
7.8;840.33;60.74;3361.32
9.1;1419.47;59.84;5677.88
8.6;1188.46;61;4753.84
7.7;803.25;60.9;3213
7.2;617.87;64;2471.48
5.5;316.33;68.17;1265.32
6.8;515.98;75.01;2063.92
7.6;766.18;75;3064.72
7;543.72;60.03;2174.88
7.1;580.8;56;2323.2
10;1750;51.02;7000
8.3;1051.47;45.51;4205.88
6.2;432.77;42.71;1731.08
4.3;68.29;39.64;273.16
6.1;418.9;35.41;1675.6
6.1;418.9;35.31;1675.6
8;914.48;36.43;3657.92
11.1;1750;39.99;7000
10.8;1750;57.35;7000
11.1;1750;65.54;7000
11.6;1750;73;7000
11.4;1750;68;7000
8.8;1279.78;63.51;5119.12
4;0;60.52;0
4.3;68.29;60.52;273.16
7.7;803.25;53.28;3213
6.2;432.77;51.21;1731.08
2.6;0;54.04;0
1.2;0;59.9;0
1.3;0;60.52;0
3.3;0;61;0
2.1;0;56.65;0
4.5;113.81;53.6;455.24
5;227.63;47.68;910.52
4.2;45.53;42.56;182.12
2.9;0;32.84;0
4.4;91.05;42.02;364.2
9.3;1512.52;39;6050.08
11.1;1750;28.71;7000
8.3;1051.47;28.61;4205.88
6.3;446.64;27.8;1786.56
5.9;387.29;38.09;1549.16
7.4;692.02;46.55;2768.08
9.7;1718.91;42.93;6875.64
11;1750;47.68;7000
10.9;1750;48.23;7000
9.1;1419.47;53.65;5677.88
8.9;1325.45;48.6;5301.8
8.2;1005.81;47.94;4023.24
10.1;1750;46.55;7000
11.9;1750;47.68;7000
10.9;1750;46.55;7000
9.8;1750;50;7000
9.3;1512.52;61;6050.08
7.6;766.18;65;3064.72
9.2;1467.83;61.71;5871.32
7.8;840.33;61;3361.32
6.8;515.98;49.4;2063.92
6.8;515.98;47.4;2063.92
5;227.63;45.85;910.52
3.6;0;48;0
7.1;580.8;41.01;2323.2
7.1;580.8;32.36;2323.2
7.9;877.4;31.5;3509.6
7.8;840.33;24.15;3361.32
4.7;159.34;25;637.36
7.5;729.1;31.32;2916.4
8.5;1142.8;38.02;4571.2
8.1;960.14;43.22;3840.56
7.2;617.87;46.25;2471.48
6.2;432.77;48.95;1731.08
6.1;418.9;46.91;1675.6
6.2;432.77;46.35;1731.08
6.1;418.9;42.02;1675.6
9;1371.11;38;5484.44
9.6;1656.74;43.11;6626.96
8.5;1142.8;46.91;4571.2
7.9;877.4;54.4;3509.6
8.1;960.14;62.04;3840.56
9.6;1656.74;53.5;6626.96
8.7;1234.12;49.37;4936.48
5.6;334.07;46.91;1336.28
7.2;617.87;43.85;2471.48
8.3;1051.47;31.45;4205.88
14.55;1750;41.18;7000
20.8;1750;36.2;7000
19;1750;25;7000
18.2;1750;21.89;7000
17.7;1750;34.87;7000
19;1750;39.99;7000
19.2;1750;56.56;7000
20.1;1750;66.71;7000
21;1750;87.76;7000
21.8;1750;75.5;7000
20.1;1750;75.5;7000
20.2;1750;72.07;7000
20.5;1750;57.3;7000
19.1;1750;56.35;7000
19.1;1750;57.39;7000
19.6;1750;70;7000
18.2;1750;70.83;7000
17.5;1750;76;7000
17.2;1750;76;7000
19.6;1750;74.9;7000
18.3;1750;69;7000
18;1750;57.38;7000
17.3;1750;55.25;7000
16.4;1750;49.4;7000
16.5;1750;48.06;7000
17.9;1750;52.89;7000
17.3;1750;52.13;7000
17.5;1750;53.58;7000
17;1750;57.15;7000
16.9;1750;60.71;7000
16.2;1750;63.02;7000
15.2;1750;65.94;7000
12.5;1750;71.77;7000
10.3;1750;69.01;7000
11.2;1750;61.78;7000
11.5;1750;59;7000
10.3;1750;57.88;7000
8.1;960.14;55;3840.56
5.2;263.11;57.01;1052.44
5.5;316.33;59.1;1265.32
6.8;515.98;62.14;2063.92
6.6;488.24;71.43;1952.96
6.1;418.9;74;1675.6
7.1;580.8;70.29;2323.2
4.5;113.81;65;455.24
6.4;460.5;60.29;1842
5.4;298.59;55.83;1194.36
4.1;22.76;56.41;91.04
3.1;0;51;0
7.9;877.4;47.16;3509.6
5.5;316.33;44.2;1265.32
2.9;0;40.9;0
2.4;0;40.78;0
2;0;52.67;0
2.3;0;60;0
4.1;22.76;70;91.04
1.3;0;71.17;0
2.6;0;65.88;0
2.9;0;62;0
3.7;0;54.99;0
5.1;245.37;51.49;981.48
6.5;474.37;50.68;1897.48
6.7;502.11;56.39;2008.44
6;405.03;55.88;1620.12
5.6;334.07;63.53;1336.28
6.3;446.64;70;1786.56
7.9;877.4;66.7;3509.6
8.7;1234.12;63.23;4936.48
8.5;1142.8;57.75;4571.2
8.2;1005.81;56.2;4023.24
9.6;1656.74;52.1;6626.96
10.1;1750;45.4;7000
8.5;1142.8;29.1;4571.2
9.4;1553.55;20.4;6214.2
8.4;1097.13;18.86;4388.52
5.9;387.29;15.13;1549.16
4.7;159.34;18.02;637.36
4.3;68.29;25.99;273.16
4.7;159.34;51.02;637.36
3.8;0;60;0
4.5;113.81;63.68;455.24
4.3;68.29;57.75;273.16
3.9;0;48.22;0
4;0;43.45;0
5.3;280.85;46.56;1123.4
4;0;43.15;0
4.5;113.81;50.36;455.24
3.6;0;57.03;0
2.9;0;57.75;0
3.1;0;63.45;0
1.9;0;57.75;0
2.5;0;55.95;0
3.2;0;55.95;0
5.2;263.11;55.95;1052.44
4.5;113.81;52.7;455.24
3.2;0;49;0
2.8;0;54.26;0
2.8;0;46.91;0
3.3;0;46.14;0
4.5;113.81;42.7;455.24
4;0;44.94;0
4.3;68.29;53.27;273.16
5.6;334.07;65.07;1336.28
3.3;0;65.01;0
3.4;0;55.96;0
3.2;0;57.98;0
4.3;68.29;55.96;273.16
4.5;113.81;54.27;455.24
5.3;280.85;53.27;1123.4
2.4;0;48;0
1.8;0;52.75;0
0.9;0;54.26;0
1.4;0;54.27;0
2.5;0;58.01;0
2.2;0;61.75;0
6.6;488.24;56.76;1952.96
7.2;617.87;59.57;2471.48
6.9;529.85;55.91;2119.4
6.4;460.5;54.27;1842
6.7;502.11;53.27;2008.44
7.2;617.87;58;2471.48
11.4;1750;56.22;7000
10.1;1750;54.1;7000
10.8;1750;54.12;7000
11.5;1750;54.12;7000
7.7;803.25;54.1;3213
5.1;245.37;50;981.48
7.4;692.02;53.1;2768.08
7.6;766.18;46.01;3064.72
7.1;580.8;32.85;2323.2
6.4;460.5;33;1842
7.2;617.87;27.45;2471.48
8;914.48;28.22;3657.92
5.3;280.85;24.85;1123.4
6.2;432.77;45.05;1731.08
3.3;0;46;0
7.6;766.18;53.1;3064.72
10;1750;53.1;7000
10.1;1750;53.01;7000
6.3;446.64;51.5;1786.56
6.6;488.24;32.03;1952.96
6.4;460.5;33;1842
9.2;1467.83;36.89;5871.32
9.8;1750;31.04;7000
11.3;1750;46.79;7000
5.4;298.59;32.02;1194.36
5.5;316.33;24;1265.32
4.3;68.29;10;273.16
3.6;0;10;0
2.3;0;12.73;0
1.1;0;22.2;0
3.6;0;29.99;0
5.9;387.29;21;1549.16
7.3;654.95;8.25;2619.8
6.2;432.77;22.55;1731.08
7;543.72;23.99;2174.88
8.1;960.14;24.68;3840.56
8.3;1051.47;20.78;4205.88
7.2;617.87;21.98;2471.48
5.3;280.85;28;1123.4
4.8;182.1;29.98;728.4
5;227.63;41.7;910.52
4.9;204.87;45.23;819.48
10;1750;45.69;7000
7.8;840.33;45;3361.32
7.3;654.95;34.58;2619.8
8.7;1234.12;35.95;4936.48
7;543.72;21.48;2174.88
8.6;1188.46;-0.01;4753.84
9.6;1656.74;-0.01;6626.96
9.5;1594.57;-0.01;6378.28
10.5;1750;-0.01;7000
9.1;1419.47;-0.01;5677.88
6.8;515.98;1.1;2063.92
6.9;529.85;51.7;2119.4
9.6;1656.74;56.46;6626.96
6;405.03;56.46;1620.12
2.4;0;39.01;0
2;0;24.56;0
2.8;0;26.1;0
3.6;0;18.27;0
3.1;0;10;0
5.6;334.07;36;1336.28
6;405.03;47.22;1620.12
1.7;0;32.26;0
6.4;460.5;58.41;1842
5.8;369.55;56.46;1478.2
11;1750;56.46;7000
12;1750;49;7000
12.3;1750;22.99;7000
10.8;1750;29.99;7000
4.3;68.29;0;273.16
7.6;766.18;0;3064.72
9.2;1467.83;0;5871.32
9.9;1750;0;7000
10.2;1750;0;7000
10.5;1750;1.09;7000
11;1750;8;7000
13.2;1750;53.31;7000
13.5;1750;74.85;7000
14.6;1750;65.5;7000
15.2;1750;48.28;7000
15.8;1750;49.34;7000
18.5;1750;49.34;7000
19.3;1750;47.53;7000
18;1750;39.99;7000
18;1750;40.35;7000
18.6;1750;49.34;7000
19.5;1750;49.34;7000
19.8;1750;71.8;7000
